Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"Q7","MMBT3906","SOT-23",53.650000,-70.487500,0.000000,bottom
"R20","510","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",56.825000,-73.977500,-90.000000,bottom
"C2","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",46.101000,-50.038000,0.000000,top
"C3","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",122.865000,-100.012500,180.000000,top
"C4","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",61.214000,-113.665000,0.000000,top
"C5","100n","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",64.135000,-111.506000,180.000000,top
"D1","1N4148W","D_SOD-123",137.858500,-60.706000,-90.000000,top
"D2","1N4148W","D_SOD-123",140.525500,-60.706000,90.000000,top
"J1","PROTON_CONN_LEFT","PinSocket_1x28_P2.54mm_Vertical",48.895000,-126.365000,90.000000,top
"J2","PROTON_CONN_RIGHT","PinSocket_1x28_P2.54mm_Vertical",48.895000,-108.585000,90.000000,top
"J3","KEYPAD_CONN","PinSocket_1x08_P2.54mm_Vertical",65.080000,-152.718050,90.000000,top
"J4","TFT_CONN","PinSocket_1x09_P2.54mm_Vertical",45.720000,-52.705000,0.000000,top
"J5","SD_CONN","PinSocket_1x05_P2.54mm_Vertical",109.220000,-57.785000,0.000000,top
"J6","GPS_CONN","PinSocket_1x04_P2.54mm_Vertical",126.050000,-100.012500,90.000000,top
"J7","DEBUG_CONN_L","PinSocket_1x03_P2.54mm_Vertical",135.255000,-126.365000,90.000000,top
"J8","DEBUG_CONN_R","PinSocket_1x04_P2.54mm_Vertical",132.715000,-108.585000,90.000000,top
"Q1","MMBT3904","SOT-23",126.761000,-56.642000,0.000000,top
"Q2","MMBT3904","SOT-23",133.365000,-56.642000,0.000000,top
"Q3","MMBT3906","SOT-23",125.872000,-49.235000,180.000000,top
"Q4","MMBT3906","SOT-23",132.446000,-49.174000,180.000000,top
"Q5","MMBT3904","SOT-23",126.731000,-62.423000,0.000000,top
"Q6","MMBT3904","SOT-23",133.159500,-62.357000,0.000000,top
"R1","1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",82.860000,-149.135550,-90.000000,top
"R2","1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",80.320000,-149.135550,-90.000000,top
"R3","1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",77.780000,-149.135550,-90.000000,top
"R4","1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",75.240000,-149.135550,-90.000000,top
"R5","1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",72.700000,-149.135550,-90.000000,top
"R6","1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",70.160000,-149.134450,-90.000000,top
"R7","1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",67.620000,-149.186350,-90.000000,top
"R8","1k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",65.080000,-149.135550,-90.000000,top
"R9","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",75.240000,-156.528050,90.000000,top
"R10","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",77.780000,-156.501950,90.000000,top
"R11","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",80.320000,-156.529150,90.000000,top
"R12","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",82.860000,-156.528050,90.000000,top
"R13","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",113.589500,-62.865000,180.000000,top
"R14","470","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",125.031500,-54.229000,0.000000,top
"R15","470","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",131.482000,-54.229000,180.000000,top
"R16","470","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",135.064500,-50.698000,90.000000,top
"R17","470","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",128.587500,-50.724500,-90.000000,top
"R18","2k2","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",128.587500,-47.625000,-90.000000,top
"R19","2k2","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",135.064500,-47.625000,-90.000000,top
"R21","2K2","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",131.430000,-59.944000,0.000000,top
"R22","2K2","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",124.853000,-60.010000,0.000000,top
"R24","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",121.969000,-155.702000,0.000000,top
